month,category,value
2001,CO2,370.68
2001,CH4,1772.86
2001,N2O,316.3
2001,SF6,4.69
2001,CO2,371.18
2001,CH4,1772.5
2001,N2O,316.31
2001,SF6,4.71
2001,CO2,371.59
2001,CH4,1773.63
2001,N2O,316.21
2001,SF6,4.73
2001,CO2,371.9
2001,CH4,1773.84
2001,N2O,316.12
2001,SF6,4.75
2001,CO2,371.8
2001,CH4,1770.73
2001,N2O,316.11
2001,SF6,4.76
2001,CO2,370.85
2001,CH4,1765.82
2001,N2O,316.17
2001,SF6,4.76
2001,CO2,369.46
2001,CH4,1762.73
2001,N2O,316.24
2001,SF6,4.77
2001,CO2,368.32
2001,CH4,1764.31
2001,N2O,316.3
2001,SF6,4.79
2001,CO2,368.36
2001,CH4,1770.39
2001,N2O,316.41
2001,SF6,4.81
2001,CO2,369.71
2001,CH4,1775.5
2001,N2O,316.59
2001,SF6,4.83
2001,CO2,371.05
2001,CH4,1776.57
2001,N2O,316.76
2001,SF6,4.86
2001,CO2,371.96
2001,CH4,1775.9
2001,N2O,316.87
2001,SF6,4.88
2002,CO2,372.51
2002,CH4,1774.09
2002,N2O,316.93
2002,SF6,4.89
2002,CO2,372.91
2002,CH4,1772.84
2002,N2O,316.97
2002,SF6,4.91
2002,CO2,373.38
2002,CH4,1773.37
2002,N2O,316.96
2002,SF6,4.93
2002,CO2,373.72
2002,CH4,1772.7
2002,N2O,316.9
2002,SF6,4.95
2002,CO2,373.71
2002,CH4,1770.28
2002,N2O,316.85
2002,SF6,4.96
2002,CO2,372.84
2002,CH4,1766.87
2002,N2O,316.83
2002,SF6,4.96
2002,CO2,371.41
2002,CH4,1764.32
2002,N2O,316.82
2002,SF6,4.98
2002,CO2,370.37
2002,CH4,1767.08
2002,N2O,316.82
2002,SF6,4.99
2002,CO2,370.69
2002,CH4,1773.74
2002,N2O,316.87
2002,SF6,5.01
2002,CO2,371.96
2002,CH4,1778.23
2002,N2O,316.99
2002,SF6,5.03
2002,CO2,373.29
2002,CH4,1779.58
2002,N2O,317.13
2002,SF6,5.06
2002,CO2,374.26
2002,CH4,1779.7
2002,N2O,317.24
2002,SF6,5.09
2003,CO2,374.94
2003,CH4,1777.53
2003,N2O,317.29
2003,SF6,5.11
2003,CO2,375.48
2003,CH4,1774.86
2003,N2O,317.34
2003,SF6,5.12
