지점,지점명,일시,평균기온
108,서울,Oct-07,13.9
108,서울,Nov-07,5.3
108,서울,Dec-07,-3.9
108,서울,Jan-08,-3.5
108,서울,Feb-08,-4
108,서울,Mar-08,2.9
108,서울,Apr-08,10.1
108,서울,May-08,14.9
108,서울,Jun-08,20.7
108,서울,Jul-08,23.5
108,서울,Aug-08,24.3
108,서울,Sep-08,19.3
108,서울,Oct-08,13.6
108,서울,Nov-08,3.6
108,서울,Dec-08,-0.8
108,서울,Jan-09,-2.5
108,서울,Feb-09,-3.2
108,서울,Mar-09,1.8
108,서울,Apr-09,10.4
108,서울,May-09,15.4
108,서울,Jun-09,20.6
108,서울,Jul-09,24.6
108,서울,Aug-09,25.3
108,서울,Sep-09,20.2
108,서울,Oct-09,12.2
108,서울,Nov-09,5.2
108,서울,Dec-09,-3.4
108,서울,Jan-10,-2.2
108,서울,Feb-10,-3.4
108,서울,Mar-10,2.5
108,서울,Apr-10,9.9
108,서울,May-10,16.3
108,서울,Jun-10,19.8
108,서울,Jul-10,23.3
108,서울,Aug-10,24.2
108,서울,Sep-10,19.1
108,서울,Oct-10,13.7
108,서울,Nov-10,5.5
108,서울,Dec-10,-4.6
108,서울,Jan-11,-5
108,서울,Feb-11,-1.1
108,서울,Mar-11,4
108,서울,Apr-11,9.4
108,서울,May-11,15.6
108,서울,Jun-11,20.3
108,서울,Jul-11,23.5
108,서울,Aug-11,25
108,서울,Sep-11,20.8
108,서울,Oct-11,11.6
108,서울,Nov-11,6
108,서울,Dec-11,-3
108,서울,Jan-12,-4.7
108,서울,Feb-12,1
108,서울,Mar-12,4.1
108,서울,Apr-12,9.8
108,서울,May-12,14.8
108,서울,Jun-12,20.7
108,서울,Jul-12,23.8
108,서울,Aug-12,24.6
108,서울,Sep-12,17.7
108,서울,Oct-12,11.1
108,서울,Nov-12,1.4
108,서울,Dec-12,-3
108,서울,Jan-13,-5.1
108,서울,Feb-13,-3.7
108,서울,Mar-13,1.9
108,서울,Apr-13,10.9
108,서울,May-13,14.4
108,서울,Jun-13,20.2
108,서울,Jul-13,22.3
108,서울,Aug-13,23.8
108,서울,Sep-13,19.3
108,서울,Oct-13,13
108,서울,Nov-13,4.9
108,서울,Dec-13,-1.9
108,서울,Jan-14,-2.2
108,서울,Feb-14,0.5
108,서울,Mar-14,5.2
108,서울,Apr-14,10.5
108,서울,May-14,17.3
108,서울,Jun-14,21.4
108,서울,Jul-14,26.1
108,서울,Aug-14,25.5
108,서울,Sep-14,20.6
108,서울,Oct-14,13.7
108,서울,Nov-14,6.1
108,서울,Dec-14,-1
108,서울,Jan-15,-3.9
108,서울,Feb-15,-2.7
108,서울,Mar-15,0.6
108,서울,Apr-15,9.4
108,서울,May-15,15.3
108,서울,Jun-15,20.7
108,서울,Jul-15,25.1
108,서울,Aug-15,24.4
108,서울,Sep-15,19.3
108,서울,Oct-15,14.7
108,서울,Nov-15,6.2
108,서울,Dec-15,0.8
108,서울,Jan-16,0
108,서울,Feb-16,-0.8
108,서울,Mar-16,0.4
108,서울,Apr-16,10.5
108,서울,May-16,14.5
108,서울,Jun-16,20.1
108,서울,Jul-16,23.6
108,서울,Aug-16,25.5
108,서울,Sep-16,19.2
108,서울,Oct-16,12.7
108,서울,Nov-16,6.5
